1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.632990
1.000000 -0.000000 -1.000000
-1.000000 -2.000000 0.000000
-3.000000 -0.000000 -1.000000
-3.000000 -1.000000 -1.000000 a_A
-2.000000 -1.000000 -1.000000 a_B
-1.000000 -1.000000 -1.000000 a_B
0.000000 -1.000000 -1.000000 a_B
-3.000000 -2.000000 -1.000000 a_A
-2.000000 -2.000000 -1.000000 a_A
-1.000000 -2.000000 -1.000000 a_B
-3.000000 -2.000000 -2.000000 a_A
-1.666667 -0.333333 -1.750000 d_A
-1.666667 -0.333333 -0.750000 d_A
-0.666667 -0.333333 -0.750000 d_A
0.333333 -0.333333 -0.750000 d_A
-2.666667 -1.333333 -0.750000 d_A
-1.666667 -1.333333 -0.750000 d_A
-0.666667 -1.333333 -0.750000 d_A
-2.666667 -1.333333 -1.750000 d_A
-2.333333 -0.666667 -1.250000 d_A
-1.333333 -0.666667 -1.250000 d_A
-0.333333 -0.666667 -1.250000 d_A
-0.333333 -0.666667 -0.250000 d_A
-2.333333 -1.666667 -1.250000 d_A
-1.333333 -1.666667 -1.250000 d_A
-1.333333 -1.666667 -0.250000 d_A
-3.333333 -1.666667 -1.250000 d_A
