3.078900 0.000000 0.000000
0.000000 3.078900 0.000000
0.000000 0.000000 3.078900
-0.500000 0.500000 -0.500000
-0.500000 -0.500000 0.500000
-0.000000 1.000000 1.000000
-1.000000 1.000000 1.000000 ac_A
-0.500000 0.500000 0.500000 ac_B
-0.683000 0.317000 0.317000 ac_A
-0.183000 0.817000 0.817000 ac_B
-0.817000 1.183000 0.817000 ac_B
-0.317000 0.683000 0.317000 ac_A
-0.817000 0.817000 1.183000 ac_A
-0.317000 0.317000 0.683000 ac_B
-0.683000 0.683000 0.683000 ac_B
-0.183000 0.183000 0.183000 ac_A
-0.411000 0.589000 -0.222000 g1_A
-0.411000 0.589000 0.778000 g1_A
-0.589000 0.411000 -0.222000 g1_A
-0.589000 0.411000 0.778000 g1_A
-0.589000 0.589000 1.222000 g1_A
-0.589000 0.589000 0.222000 g1_A
-0.411000 0.411000 1.222000 g1_A
-0.411000 0.411000 0.222000 g1_A
-0.722000 0.089000 0.089000 g1_A
-0.222000 0.589000 0.589000 g1_A
-0.722000 0.911000 0.911000 g1_A
-0.222000 0.411000 0.411000 g1_A
-0.278000 0.911000 1.089000 g1_A
-0.778000 0.411000 0.589000 g1_A
-0.278000 1.089000 0.911000 g1_A
-0.778000 0.589000 0.411000 g1_A
-0.411000 -0.222000 0.589000 g1_A
-0.411000 0.778000 0.589000 g1_A
-0.589000 -0.222000 0.411000 g1_A
-0.589000 0.778000 0.411000 g1_A
-0.411000 1.222000 0.411000 g1_A
-0.411000 0.222000 0.411000 g1_A
-0.589000 1.222000 0.589000 g1_A
-0.589000 0.222000 0.589000 g1_A
-0.644000 0.356000 0.042000 g2_A
-0.644000 0.356000 1.042000 g2_A
-0.356000 0.644000 1.042000 g2_A
-0.356000 0.644000 0.042000 g2_A
-0.356000 0.356000 -0.042000 g2_A
-0.356000 0.356000 0.958000 g2_A
-0.644000 0.644000 0.958000 g2_A
-0.644000 0.644000 -0.042000 g2_A
-0.958000 0.356000 0.356000 g2_A
-0.458000 0.856000 0.856000 g2_A
-0.958000 0.644000 0.644000 g2_A
-0.458000 0.144000 0.144000 g2_A
-0.542000 1.144000 0.856000 g2_A
-0.542000 0.144000 0.856000 g2_A
-0.542000 0.856000 1.144000 g2_A
-0.542000 0.856000 0.144000 g2_A
-0.644000 0.042000 0.356000 g2_A
-0.644000 1.042000 0.356000 g2_A
-0.356000 1.042000 0.644000 g2_A
-0.356000 0.042000 0.644000 g2_A
-0.644000 0.958000 0.644000 g2_A
-0.644000 -0.042000 0.644000 g2_A
-0.356000 -0.042000 0.356000 g2_A
-0.356000 0.958000 0.356000 g2_A
