1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
3.000000 -3.000000 2.000000
3.000000 -2.000000 3.000000
2.000000 -3.000000 3.000000
2.500000 -2.750000 3.000000 c_B
3.500000 -3.750000 4.000000 c_B
4.500000 -4.750000 5.000000 c_A
5.500000 -5.750000 6.000000 c_B
4.500000 -3.750000 4.000000 c_A
5.500000 -4.750000 5.000000 c_B
3.500000 -3.750000 3.000000 c_A
4.500000 -4.750000 4.000000 c_B
2.500000 -3.250000 3.000000 c_A
3.500000 -4.250000 4.000000 c_A
2.500000 -2.250000 2.000000 c_A
3.500000 -3.250000 3.000000 c_B
4.500000 -4.250000 4.000000 c_A
5.500000 -5.250000 5.000000 c_A
3.500000 -3.250000 4.000000 c_B
4.500000 -4.250000 5.000000 c_A
5.000000 -5.500000 5.250000 c_B
4.000000 -3.500000 3.250000 c_B
5.000000 -4.500000 4.250000 c_A
3.000000 -2.500000 3.250000 c_A
4.000000 -3.500000 4.250000 c_B
2.000000 -2.500000 2.250000 c_A
3.000000 -3.500000 3.250000 c_A
4.000000 -4.500000 4.250000 c_B
5.000000 -5.500000 4.750000 c_B
3.000000 -3.500000 3.750000 c_B
4.000000 -4.500000 4.750000 c_A
3.000000 -2.500000 2.750000 c_B
4.000000 -3.500000 3.750000 c_B
5.000000 -4.500000 4.750000 c_A
6.000000 -5.500000 5.750000 c_A
4.000000 -4.500000 3.750000 c_A
3.250000 -3.000000 2.500000 c_A
4.250000 -4.000000 3.500000 c_B
2.250000 -2.000000 2.500000 c_B
3.250000 -3.000000 3.500000 c_B
4.250000 -4.000000 4.500000 c_B
5.250000 -5.000000 5.500000 c_A
3.250000 -4.000000 3.500000 c_B
4.250000 -5.000000 4.500000 c_B
2.750000 -3.000000 2.500000 c_A
3.750000 -4.000000 3.500000 c_B
4.750000 -5.000000 4.500000 c_B
5.750000 -6.000000 5.500000 c_B
3.750000 -4.000000 4.500000 c_A
4.750000 -5.000000 5.500000 c_A
3.750000 -3.000000 3.500000 c_A
4.750000 -4.000000 4.500000 c_A
8.000000 -8.000000 8.000000 a_A
1.000000 -1.000000 1.000000 a_A
2.000000 -2.000000 2.000000 a_A
3.000000 -3.000000 3.000000 a_A
4.000000 -4.000000 4.000000 a_A
5.000000 -5.000000 5.000000 a_A
6.000000 -6.000000 6.000000 a_A
7.000000 -7.000000 7.000000 a_A
5.500000 -5.500000 5.500000 a_A
6.500000 -6.500000 6.500000 a_A
7.500000 -7.500000 7.500000 a_A
0.500000 -0.500000 0.500000 a_A
1.500000 -1.500000 1.500000 a_A
2.500000 -2.500000 2.500000 a_A
3.500000 -3.500000 3.500000 a_A
4.500000 -4.500000 4.500000 a_A
