4.123000 0.000000 0.000000
0.000000 4.123000 0.000000
0.000000 0.000000 4.123000
-1.000000 -2.000000 0.000000
-1.000000 -0.000000 2.000000
-2.000000 2.000000 -2.000000
-3.000000 0.000000 -1.000000 b_A
-2.000000 0.000000 -1.000000 b_A
-2.000000 1.000000 -1.000000 b_A
-3.000000 -1.000000 1.000000 b_A
-2.000000 -1.000000 0.000000 b_A
-1.000000 -1.000000 0.000000 b_A
-3.000000 0.000000 0.000000 b_B
-2.000000 0.000000 0.000000 b_A
-1.000000 0.000000 0.000000 b_A
-4.000000 0.000000 0.000000 b_B
-3.000000 1.000000 0.000000 b_A
-2.000000 1.000000 0.000000 b_A
-2.000000 -1.000000 1.000000 b_A
-3.000000 1.000000 -1.000000 b_B
-2.000000 -0.000000 1.000000 b_A
-1.000000 -0.000000 1.000000 b_B
-2.500000 0.500000 -0.500000 a_A
-1.500000 0.500000 -0.500000 a_A
-2.500000 -0.500000 -0.500000 a_A
-1.500000 -0.500000 -0.500000 a_A
-1.500000 -0.500000 0.500000 a_A
-2.500000 1.500000 -1.500000 a_A
-2.500000 0.500000 0.500000 a_A
-1.500000 0.500000 0.500000 a_A
-1.500000 -1.500000 0.500000 a_A
-2.500000 0.500000 -1.500000 a_A
-3.500000 -0.500000 0.500000 a_A
-2.500000 -0.500000 0.500000 a_A
-1.500000 -0.500000 1.500000 a_A
-2.500000 1.500000 -0.500000 a_A
-2.500000 -1.500000 1.500000 a_A
-3.500000 0.500000 -0.500000 a_A
