1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.633000
-2.000000 -1.000000 0.000000
-0.000000 1.000000 0.000000
0.666664 0.333336 -2.666664
0.333331 0.666669 -2.333331 a_A
-0.666669 0.666669 -2.333331 a_B
-0.000002 1.000002 -1.999998 a_B
-1.000002 0.000002 -1.999998 a_B
-0.333335 0.333335 -1.666665 a_A
-1.666668 -0.333332 -1.333332 a_A
-1.333335 0.333335 -1.666665 a_B
-0.666668 0.666668 -1.333332 a_B
-0.000001 1.000001 -0.999999 a_A
-1.000001 0.000001 -0.999999 a_B
-0.333334 0.333334 -0.666666 a_A
-1.333334 0.333334 -0.666666 a_A
-0.666667 0.666667 -0.333333 a_A
-1.333336 0.333336 -2.666664 a_A
-1.666667 -0.333333 -0.333333 a_B
-0.333336 0.333336 -2.666664 a_B
0.333331 0.666669 -1.833331 b_A
-0.666669 0.666669 -1.833331 b_A
-0.000002 1.000002 -1.499998 b_A
-1.000002 0.000002 -1.499998 b_A
-0.333335 0.333335 -1.166665 b_A
-1.666668 -0.333332 -0.833332 b_A
-1.333335 0.333335 -1.166665 b_A
-0.666668 0.666668 -0.833332 b_A
-0.000001 1.000001 -0.499999 b_A
-1.000001 0.000001 -0.499999 b_A
-0.333334 0.333334 -0.166666 b_A
-1.333334 0.333334 -0.166666 b_A
-0.000003 1.000003 -2.499997 b_A
-1.333336 0.333336 -2.166664 b_A
-1.000003 0.000003 -2.499997 b_A
-0.333336 0.333336 -2.166664 b_A
