1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.633000
1.333334 2.666666 0.666666
1.333334 -1.333334 0.666666
0.666666 0.333334 -0.666666
2.333333 2.666667 0.166667 b_B
1.666666 1.333334 -0.166666 b_A
2.333333 1.666667 0.166667 b_B
3.000000 2.000000 0.500000 b_B
1.333333 1.666667 0.166667 b_A
2.000000 2.000000 0.500000 b_A
1.666666 0.333334 -0.166666 b_B
2.333333 0.666667 0.166667 b_A
3.000000 1.000000 0.500000 b_A
0.666666 0.333334 -0.166666 b_B
1.333333 0.666667 0.166667 b_A
2.000000 1.000000 0.500000 b_A
2.666667 1.333333 0.833333 b_B
2.333333 -0.333333 0.166667 b_A
1.333333 -0.333333 0.166667 b_B
2.000000 -0.000000 0.500000 b_B
1.666667 2.333333 0.333333 a_A
1.000000 1.000000 -0.000000 a_A
1.666667 1.333333 0.333333 a_B
2.333334 1.666666 0.666666 a_B
2.666667 0.333333 0.333333 a_A
2.000000 2.000000 -0.000000 a_A
1.000000 0.000000 -0.000000 a_A
1.666667 0.333333 0.333333 a_B
2.333334 0.666666 0.666666 a_B
3.333334 1.666666 0.666666 a_A
1.333333 0.666667 -0.333333 a_B
2.000000 1.000000 -0.000000 a_B
2.666667 1.333333 0.333333 a_A
1.666667 -0.666667 0.333333 a_A
2.666667 2.333333 0.333333 a_B
2.000000 0.000000 -0.000000 a_B
