0.707107 0.000000 0.000000
-0.353553 0.612373 0.000000
0.000000 0.000000 3.464100
-1.333333 0.333333 0.333333
0.666667 -1.666667 0.333333
4.000000 4.000000 0.000000
-0.333334 0.333332 0.333334 a_A
0.666666 0.333332 0.333334 a_A
0.333333 -0.333335 0.666667 a_A
2.666666 3.333332 0.333334 a_B
0.666666 -0.666668 0.333334 a_B
3.666666 3.333332 0.333334 a_B
3.333333 2.666665 0.666667 a_B
1.666666 2.333332 0.333334 a_B
3.666666 2.333332 0.333334 a_A
2.666666 2.333332 0.333334 a_B
2.333333 1.666665 0.666667 a_B
0.666666 1.333332 0.333334 a_B
2.666666 1.333332 0.333334 a_A
1.666666 1.333332 0.333334 a_A
1.333333 0.666665 0.666667 a_A
1.666666 0.333332 0.333334 a_A
3.000000 3.000000 0.500000 b_A
0.000000 -1.000000 0.500000 b_A
0.333333 -0.333333 0.166667 b_A
2.000000 2.000000 0.500000 b_A
3.333333 3.666667 0.166667 b_A
3.000000 2.000000 0.500000 b_A
3.333333 2.666667 0.166667 b_A
1.000000 1.000000 0.500000 b_A
2.333333 2.666667 0.166667 b_A
2.000000 1.000000 0.500000 b_A
2.333333 1.666667 0.166667 b_A
0.000000 0.000000 0.500000 b_A
1.333333 1.666667 0.166667 b_A
1.000000 -0.000000 0.500000 b_A
1.333333 0.666667 0.166667 b_A
0.333333 0.666667 0.166667 b_A
