0.707107 0.000000 0.000000
-0.353553 0.612373 0.000000
0.000000 0.000000 3.464100
0.666668 1.333332 1.333332
-1.333332 -0.666668 1.333332
0.666668 -0.666668 1.333332
-0.000000 -0.000002 0.500000 b_B
0.333334 0.666664 1.166666 b_A
0.333334 -0.333336 1.166666 b_A
-0.666666 -0.333336 1.166666 b_A
0.000001 -0.000003 1.499999 b_B
0.666668 0.333330 1.833332 b_A
-0.333332 0.333330 1.833332 b_B
0.333335 0.666663 2.166665 b_A
-0.333332 -0.666670 1.833332 b_B
0.333335 -0.333337 2.166665 b_A
-0.666665 -0.333337 2.166665 b_A
0.000002 -0.000004 2.499998 b_B
0.666669 0.333329 2.833331 b_B
-0.333331 0.333329 2.833331 b_B
-0.333331 -0.666671 2.833331 b_A
0.000003 -0.000005 3.499997 b_B
0.000004 -0.000004 3.999996 a_A
-0.333330 -0.666670 3.333330 a_B
-0.333330 0.333330 3.333330 a_A
0.666670 0.333330 3.333330 a_A
0.000001 -0.000001 0.999999 a_B
-0.666664 -0.333336 2.666664 a_A
0.333336 -0.333336 2.666664 a_B
0.333335 0.666665 1.666665 a_B
0.333336 0.666664 2.666664 a_A
0.333335 -0.333335 1.666665 a_B
-0.666665 -0.333335 1.666665 a_B
0.000002 -0.000002 1.999998 a_A
0.666669 0.333331 2.333331 a_A
-0.333331 0.333331 2.333331 a_B
-0.333331 -0.666669 2.333331 a_B
0.000003 -0.000003 2.999997 a_A
