3.567000 0.000000 0.000000
0.000000 3.567000 0.000000
0.000000 0.000000 3.567000
-2.000000 -1.000000 -1.000000
-1.000000 -0.500000 0.500000
-1.000000 1.500000 0.500000
-3.000000 0.000000 0.000000 c_A
-2.500000 -1.000000 -0.500000 c_A
-2.500000 -0.500000 0.000000 c_B
-2.500000 -0.000000 -0.500000 c_A
-2.500000 0.500000 0.000000 c_A
-2.000000 -0.500000 -0.500000 c_A
-2.000000 0.000000 0.000000 c_A
-2.000000 0.500000 0.500000 c_A
-1.500000 -0.500000 -0.000000 c_A
-1.500000 -0.000000 0.500000 c_B
-1.500000 0.500000 0.000000 c_A
-1.500000 1.000000 0.500000 c_A
-3.000000 0.500000 0.500000 c_A
-1.000000 0.000000 0.000000 c_A
-3.000000 -0.500000 -0.500000 c_B
-4.000000 0.000000 0.000000 c_B
-1.250000 0.750000 0.250000 c_A
-0.750000 -0.250000 -0.250000 c_A
-0.750000 0.250000 0.250000 c_A
-1.750000 0.250000 0.250000 c_A
-1.750000 0.750000 0.750000 c_B
-1.250000 -0.250000 0.250000 c_A
-3.250000 -0.750000 -0.250000 c_A
-2.250000 0.250000 -0.250000 c_B
-1.750000 -0.750000 -0.750000 c_A
-1.750000 -0.250000 -0.250000 c_A
-2.750000 -0.250000 -0.250000 c_B
-2.750000 0.250000 0.250000 c_A
-3.250000 0.250000 -0.250000 c_B
-2.250000 -0.750000 -0.250000 c_A
-2.250000 -0.250000 0.250000 c_A
-2.250000 0.750000 0.250000 c_A
