3.567000 0.000000 0.000000
0.000000 3.567000 0.000000
0.000000 0.000000 3.567000
-1.000000 -1.000000 1.000000
1.000000 -1.000000 -1.000000
1.000000 1.000000 1.000000
0.500000 -0.000000 1.500000 c_A
0.500000 -1.500000 0.000000 c_A
1.000000 -0.000000 1.000000 c_C
0.000000 -0.500000 0.500000 c_A
1.000000 -1.000000 0.000000 c_A
0.500000 -1.000000 0.500000 c_A
0.500000 -0.500000 1.000000 c_C
1.000000 -1.000000 1.000000 c_C
1.500000 -0.000000 0.500000 c_A
0.500000 -0.500000 0.000000 c_C
0.500000 -0.000000 0.500000 c_A
1.500000 -0.500000 0.000000 c_A
1.000000 -0.500000 0.500000 c_B
0.000000 -1.500000 0.500000 c_C
0.000000 -1.000000 1.000000 c_B
0.000000 -0.500000 1.500000 c_B
0.250000 -0.750000 1.250000 c_B
0.250000 -0.250000 1.750000 c_A
0.750000 -0.750000 0.750000 c_A
0.750000 -0.250000 1.250000 c_C
-0.250000 -0.750000 0.750000 c_C
0.250000 -1.750000 0.250000 c_A
0.250000 -1.250000 0.750000 c_B
0.750000 0.250000 0.750000 c_B
1.250000 -0.750000 0.250000 c_A
1.250000 -0.250000 0.750000 c_C
0.250000 -0.750000 0.250000 c_B
0.250000 -0.250000 0.750000 c_B
0.750000 -1.250000 0.250000 c_A
1.750000 -0.250000 0.250000 c_A
0.750000 -0.750000 -0.250000 c_A
0.750000 -0.250000 0.250000 c_A
