1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.632990
2.000000 -3.000000 2.000000
-2.000000 -5.000000 2.000000
-0.000000 -1.000000 -1.000000
0.000000 -2.000000 -0.000000 c_A
0.000000 -1.000000 -0.000000 c_A
-0.000000 -9.000000 3.000000 c_B
-1.000000 -5.000000 1.000000 c_C
-1.000000 -4.000000 1.000000 c_C
0.000000 -4.000000 1.000000 c_B
1.000000 -4.000000 1.000000 c_B
-1.000000 -3.000000 1.000000 c_B
0.000000 -3.000000 1.000000 c_C
1.000000 -3.000000 1.000000 c_A
0.000000 -3.000000 0.000000 c_C
1.000000 -2.000000 1.000000 c_C
-1.000000 -7.000000 2.000000 c_A
-1.000000 -6.000000 2.000000 c_C
0.000000 -6.000000 2.000000 c_B
1.000000 -6.000000 2.000000 c_B
-1.000000 -5.000000 2.000000 c_B
-0.000000 -5.000000 2.000000 c_B
1.000000 -5.000000 2.000000 c_B
0.000000 -5.000000 1.000000 c_B
1.000000 -4.000000 2.000000 c_A
-0.000000 -8.000000 3.000000 c_A
0.000000 -7.000000 3.000000 c_C
0.000000 -7.000000 2.000000 c_C
0.666667 -1.666667 0.500000 c_A
-1.333333 -6.666667 1.500000 c_C
-1.333333 -5.666667 1.500000 c_C
-0.333333 -4.666667 1.500000 c_C
-0.333333 -3.666667 1.500000 c_C
0.666667 -3.666667 1.500000 c_C
1.666667 -3.666667 1.500000 c_B
-0.333333 -3.666667 0.500000 c_A
0.666667 -3.666667 0.500000 c_B
-0.333333 -7.666667 3.500000 c_A
0.666667 -2.666667 0.500000 c_C
-0.333333 -7.666667 2.500000 c_A
-0.333333 -6.666667 2.500000 c_A
-0.333333 -5.666667 2.500000 c_A
0.666667 -5.666667 2.500000 c_C
-0.333333 -2.666667 0.500000 c_C
-0.333333 -5.666667 1.500000 c_A
0.666667 -5.666667 1.500000 c_A
-0.333333 -1.666667 0.500000 c_B
0.666667 -4.666667 1.500000 c_B
1.666667 -4.666667 1.500000 c_A
-1.333333 -4.666667 1.500000 c_B
-1.333333 -4.666667 0.500000 c_A
0.666667 -6.666667 2.500000 c_B
