1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.632990
-1.000000 1.000000 4.000000
1.000000 1.000000 4.000000
0.000000 2.000000 0.000000
0.000000 4.000000 8.000000 c_C
0.000000 3.000000 8.000000 c_A
0.000000 1.000000 1.000000 c_A
0.000000 2.000000 1.000000 c_C
0.000000 1.000000 2.000000 c_C
0.000000 2.000000 2.000000 c_A
0.000000 1.000000 3.000000 c_A
0.000000 2.000000 3.000000 c_A
0.000000 3.000000 4.000000 c_B
0.000000 2.000000 4.000000 c_A
0.000000 2.000000 5.000000 c_A
0.000000 3.000000 5.000000 c_B
0.000000 2.000000 6.000000 c_C
0.000000 3.000000 6.000000 c_A
0.000000 2.000000 7.000000 c_A
0.000000 3.000000 7.000000 c_A
-0.333333 1.333333 4.500000 c_B
-0.333333 2.333333 4.500000 c_B
-0.333333 2.333333 5.500000 c_A
-0.333333 3.333333 5.500000 c_B
-0.333333 2.333333 6.500000 c_B
-0.333333 3.333333 6.500000 c_A
0.666667 1.333333 3.500000 c_C
0.666667 2.333333 3.500000 c_A
0.666667 1.333333 4.500000 c_A
0.666667 2.333333 4.500000 c_B
-0.333333 1.333333 1.500000 c_C
-0.333333 2.333333 1.500000 c_C
-0.333333 1.333333 2.500000 c_A
-0.333333 2.333333 2.500000 c_A
-0.333333 1.333333 3.500000 c_B
-0.333333 2.333333 3.500000 c_C
