1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.632990
-0.000000 -2.000000 -2.000000
1.000000 3.000000 -2.000000
3.000000 0.000000 1.000000
1.000000 0.000000 -3.000000 c_A
1.000000 1.000000 -3.000000 c_A
2.000000 1.000000 -3.000000 c_C
3.000000 1.000000 -3.000000 c_C
1.000000 -1.000000 -2.000000 c_A
2.000000 -1.000000 -2.000000 c_A
1.000000 -0.000000 -2.000000 c_A
2.000000 -0.000000 -2.000000 c_A
3.000000 0.000000 -2.000000 c_A
1.000000 1.000000 -2.000000 c_C
2.000000 1.000000 -2.000000 c_A
3.000000 1.000000 -2.000000 c_A
1.000000 2.000000 -2.000000 c_A
2.000000 2.000000 -2.000000 c_A
3.000000 2.000000 -2.000000 c_B
4.000000 2.000000 -2.000000 c_A
1.000000 -1.000000 -1.000000 c_B
2.000000 -1.000000 -1.000000 c_A
3.000000 -1.000000 -1.000000 c_C
1.000000 -0.000000 -1.000000 c_A
2.000000 0.000000 -1.000000 c_A
3.000000 0.000000 -1.000000 c_A
1.000000 1.000000 -1.000000 c_A
2.000000 1.000000 -1.000000 c_A
3.000000 1.000000 -1.000000 c_A
2.000000 2.000000 -1.000000 c_A
3.000000 2.000000 -1.000000 c_A
4.000000 1.000000 -3.000000 c_B
1.000000 -0.000000 0.000000 c_C
2.000000 -0.000000 0.000000 c_A
3.000000 -0.000000 0.000000 c_B
3.000000 1.000000 0.000000 c_A
1.666667 0.333333 -2.500000 c_A
1.666667 1.333333 -2.500000 c_A
2.666667 1.333333 -2.500000 c_C
3.666667 1.333333 -2.500000 c_A
1.666667 -0.666667 -1.500000 c_A
2.666667 -0.666667 -1.500000 c_A
1.666667 0.333333 -1.500000 c_A
2.666667 0.333333 -1.500000 c_A
0.666667 0.333333 -2.500000 c_A
1.666667 1.333333 -1.500000 c_A
2.666667 1.333333 -1.500000 c_A
3.666667 1.333333 -1.500000 c_A
1.666667 2.333333 -1.500000 c_A
2.666667 2.333333 -1.500000 c_A
3.666667 2.333333 -1.500000 c_A
0.666667 -0.666667 -0.500000 c_B
1.666667 -0.666667 -0.500000 c_A
2.666667 -0.666667 -0.500000 c_A
0.666667 -0.666667 -1.500000 c_A
1.666667 0.333333 -0.500000 c_B
2.666667 0.333333 -0.500000 c_C
0.666667 0.333333 -1.500000 c_A
1.666667 1.333333 -0.500000 c_B
2.666667 1.333333 -0.500000 c_A
0.666667 1.333333 -1.500000 c_A
2.666667 0.333333 -2.500000 c_C
3.666667 0.333333 -2.500000 c_A
0.666667 -1.666667 -1.500000 c_B
1.666667 -1.666667 -1.500000 c_A
2.666667 0.333333 0.500000 c_A
0.666667 0.333333 -0.500000 c_A
0.666667 -0.666667 -2.500000 c_A
