1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
-1.000000 1.000000 2.000000
-1.000000 2.000000 1.000000
-2.000000 1.000000 1.000000
-1.500000 1.500000 1.500000 b_B
-2.000000 2.500000 2.000000 b_A
-2.000000 2.000000 2.500000 b_B
-2.500000 3.000000 3.000000 b_B
-0.500000 0.500000 0.500000 b_A
-2.500000 2.000000 2.000000 b_A
-1.000000 1.500000 1.000000 b_A
-3.000000 3.000000 2.500000 b_A
-1.000000 1.000000 1.500000 b_A
-3.000000 2.500000 3.000000 b_B
-1.500000 2.000000 2.000000 b_B
-3.500000 3.500000 3.500000 b_A
-1.500000 1.000000 1.000000 b_A
-2.000000 2.000000 1.500000 b_B
-2.000000 1.500000 2.000000 b_B
-2.500000 2.500000 2.500000 b_B
-1.250000 1.750000 1.750000 c_A
-0.750000 0.750000 1.250000 c_A
-0.750000 1.250000 0.750000 c_A
-0.250000 0.250000 0.250000 c_A
-2.250000 1.750000 1.750000 c_A
-2.250000 2.250000 2.250000 c_A
-2.750000 2.750000 2.250000 c_A
-1.750000 1.250000 1.750000 c_A
-2.750000 2.250000 2.750000 c_A
-1.750000 1.750000 1.250000 c_A
-3.250000 3.250000 3.250000 c_A
-1.250000 0.750000 0.750000 c_A
-1.250000 1.250000 1.250000 c_A
-1.750000 2.250000 1.750000 c_A
-1.750000 1.750000 2.250000 c_A
-2.250000 2.750000 2.750000 c_A
-2.750000 3.250000 3.250000 c_A
-2.250000 2.250000 2.750000 c_A
-2.250000 2.750000 2.250000 c_A
-1.750000 1.750000 1.750000 c_A
-1.750000 2.250000 2.250000 c_A
-3.750000 3.750000 3.750000 c_A
-1.250000 1.250000 1.750000 c_A
-3.250000 2.750000 3.250000 c_A
-1.250000 1.750000 1.250000 c_A
-3.250000 3.250000 2.750000 c_A
-0.750000 0.750000 0.750000 c_A
-2.750000 2.250000 2.250000 c_A
-2.750000 2.750000 2.750000 c_A
-2.250000 1.750000 2.250000 c_A
-2.250000 2.250000 1.750000 c_A
-1.750000 1.250000 1.250000 c_A
-3.000000 3.000000 3.000000 a_A
-2.500000 2.000000 2.500000 a_A
-2.500000 2.500000 2.000000 a_A
-2.000000 1.500000 1.500000 a_A
-2.000000 2.000000 2.000000 a_A
-2.000000 2.500000 2.500000 a_A
-2.500000 3.000000 2.500000 a_A
-1.500000 1.500000 2.000000 a_A
-2.500000 2.500000 3.000000 a_A
-1.500000 2.000000 1.500000 a_A
-3.000000 3.500000 3.500000 a_A
-1.000000 1.000000 1.000000 a_A
-3.000000 2.500000 2.500000 a_A
-3.500000 3.500000 3.000000 a_A
-3.500000 3.000000 3.500000 a_A
-4.000000 4.000000 4.000000 a_A
