1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
2.000000 0.000000 0.000000
0.000000 2.000000 0.000000
0.000000 0.000000 2.000000
2.012504 2.010065 0.989685 a_A
2.006260 0.484477 1.475579 a_A
0.507930 1.974123 1.512713 a_A
2.011629 1.974905 1.964174 a_A
1.992981 0.500986 0.504913 a_A
1.959608 1.001860 1.007714 a_A
1.959663 1.520695 1.488836 a_A
0.528324 2.039932 0.506734 a_A
0.479197 0.474559 0.964339 a_A
0.487865 1.024531 1.461894 a_A
1.022165 1.973961 1.023563 a_A
1.037198 0.489545 1.468863 a_A
1.486283 2.005661 1.517616 a_A
1.984617 0.992427 1.974045 a_A
1.990428 1.452835 0.497551 a_A
0.518847 0.484200 2.003977 a_A
0.456107 1.013528 0.497870 a_A
0.492733 1.511578 0.985225 a_A
1.000149 2.004131 1.951208 a_A
0.994827 0.526203 0.498008 a_A
0.969744 1.013153 1.018553 a_A
1.031273 1.497743 1.496142 a_A
1.486952 2.024536 0.499585 a_A
1.481035 0.465918 1.026227 a_A
1.502769 1.043713 1.506096 a_A
0.495367 1.503877 2.029079 a_A
0.962735 1.027378 2.002334 a_A
1.037922 1.522664 0.495121 a_A
1.470202 0.494321 1.985558 a_A
1.524234 0.964013 0.478427 a_A
1.526246 1.517364 1.010144 a_A
1.504338 1.530928 2.006809 a_A
