1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
2.000000 0.000000 0.000000
0.000000 2.000000 0.000000
0.000000 0.000000 2.000000
2.041113 1.995091 1.000030 a_A
2.043901 0.507928 1.499329 a_A
0.484885 2.028784 1.475679 a_A
2.031805 1.988849 2.027900 a_B
2.013485 0.516903 0.497647 a_A
1.968413 1.027193 1.006838 a_A
2.004054 1.510545 1.511472 a_A
0.531325 1.990998 0.534171 a_A
0.468967 0.461304 0.997501 a_A
0.490225 0.977381 1.458540 a_A
0.996020 1.979219 0.955242 a_A
1.011638 0.457217 1.497294 a_A
1.528894 2.028177 1.529497 a_B
2.000255 1.002109 2.001950 a_A
2.037489 1.475395 0.493956 a_B
0.465858 0.515854 2.010952 a_B
0.516352 1.018185 0.501601 a_B
0.507515 1.494860 1.015982 a_A
1.018020 2.045547 1.999687 a_A
1.006037 0.518632 0.519017 a_A
0.979763 1.001429 1.039082 a_A
1.031758 1.490028 1.497249 a_A
1.484481 2.000987 0.516983 a_A
1.487631 0.529793 0.985554 a_A
1.515776 1.044052 1.498504 a_A
0.525380 1.520008 2.015630 a_A
0.962831 0.988655 1.978048 a_B
0.984038 1.524764 0.497039 a_B
1.530707 0.467638 2.002734 a_B
1.502752 1.009551 0.454711 a_A
1.491680 1.508444 1.016920 a_A
1.539542 1.526470 2.000349 a_A
