1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
2.000000 0.000000 0.000000
0.000000 2.000000 0.000000
0.000000 0.000000 2.000000
1.959347 1.995125 0.982595 a_B
1.988814 0.510931 1.516577 a_C
0.505579 1.965037 1.488567 a_A
1.988057 2.029203 1.976306 a_B
2.027689 0.462551 0.517720 a_A
1.990046 0.964171 0.984424 a_C
1.980122 1.457667 1.511249 a_B
0.484147 2.042385 0.500533 a_A
0.497359 0.499468 1.002414 a_C
0.515628 0.971951 1.477423 a_C
0.977656 2.000944 0.982701 a_B
1.016248 0.541531 1.491113 a_A
1.521899 1.979316 1.484070 a_A
2.021998 1.003705 1.989589 a_A
1.966412 1.467772 0.514695 a_B
0.508735 0.536780 1.996057 a_A
0.508954 1.009719 0.528354 a_A
0.535625 1.507248 0.968293 a_C
0.985811 2.016369 1.978149 a_A
0.996637 0.468219 0.501184 a_C
1.016451 0.994958 0.954535 a_A
0.971812 1.468797 1.508236 a_B
1.470619 1.977871 0.505942 a_A
1.486062 0.486417 0.977145 a_A
1.458511 0.990724 1.515234 a_A
0.514908 1.513136 1.987793 a_C
1.022373 1.024123 1.966969 a_A
0.998093 1.515257 0.518031 a_C
1.499898 0.505968 1.992755 a_A
1.507540 0.971844 0.530998 a_B
1.496389 1.472705 0.962070 a_B
1.455248 1.492657 1.985245 a_A
