1.000000 0.000000 0.000000
-0.500000 0.866025 0.000000
0.000000 0.000000 1.633000
-2.000000 0.000000 0.000000
-0.000000 -2.000000 0.000000
0.000000 0.000000 4.000000
-0.666667 -0.333333 0.500000 d_A
-1.666667 -0.333333 0.500000 d_B
-0.666667 -1.333333 0.500000 d_B
-1.666667 -1.333333 0.500000 d_A
-0.666667 -0.333333 1.500000 d_B
-1.666667 -0.333333 1.500000 d_A
-0.666667 -1.333333 1.500000 d_B
-1.666667 -1.333333 1.500000 d_A
-0.666667 -0.333333 2.500000 d_A
-1.666667 -0.333333 2.500000 d_A
-0.666667 -1.333333 2.500000 d_A
-1.666667 -1.333333 2.500000 d_A
-0.666667 -0.333333 3.500000 d_B
-1.666667 -0.333333 3.500000 d_B
-0.666667 -1.333333 3.500000 d_A
-1.666667 -1.333333 3.500000 d_A
-1.333333 -0.666666 0.500000 d_B
-0.333333 -0.666666 0.500000 d_B
-1.333333 -1.666666 0.500000 d_B
-0.333333 -1.666666 0.500000 d_B
-1.333333 -0.666666 1.500000 d_B
-0.333333 -0.666666 1.500000 d_B
-1.333333 -1.666666 1.500000 d_A
-0.333333 -1.666666 1.500000 d_A
-1.333333 -0.666666 2.500000 d_B
-0.333333 -0.666666 2.500000 d_A
-1.333333 -1.666666 2.500000 d_B
-0.333333 -1.666666 2.500000 d_A
-1.333333 -0.666666 3.500000 d_A
-0.333333 -0.666666 3.500000 d_B
-1.333333 -1.666666 3.500000 d_B
-0.333333 -1.666666 3.500000 d_A
-1.000000 -1.000000 4.000000 a_A
-2.000000 -1.000000 4.000000 a_A
-1.000000 -2.000000 4.000000 a_A
-2.000000 -2.000000 4.000000 a_A
-1.000000 -1.000000 1.000000 a_A
-2.000000 -1.000000 1.000000 a_A
-1.000000 -2.000000 1.000000 a_A
-2.000000 -2.000000 1.000000 a_A
-1.000000 -1.000000 2.000000 a_A
-2.000000 -1.000000 2.000000 a_A
-1.000000 -2.000000 2.000000 a_A
-2.000000 -2.000000 2.000000 a_A
-1.000000 -1.000000 3.000000 a_A
-2.000000 -1.000000 3.000000 a_A
-1.000000 -2.000000 3.000000 a_A
-2.000000 -2.000000 3.000000 a_A
