1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
0.379870 0.379870 0.379870 c_A
0.120130 -0.379870 0.879870 c_A
-0.379870 0.879870 0.120130 c_A
0.879870 0.120130 -0.379870 c_A
-0.379870 -0.379870 -0.379870 c_A
0.879870 0.379870 0.120130 c_A
0.379870 0.120130 0.879870 c_A
0.120130 0.879870 0.379870 c_A
0.000000 0.000000 0.000000 a_A
0.500000 0.000000 0.500000 a_A
0.000000 0.500000 0.500000 a_A
0.500000 0.500000 0.000000 a_A
