1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
-1.000000 0.000000 0.000000
0.000000 -1.000000 -1.000000
-0.000000 -2.000000 2.000000
-1.000000 -1.000000 0.000000 a_A
-1.000000 -3.000000 1.000000 a_A
-1.000000 -2.000000 1.000000 a_B
-1.000000 -2.000000 0.000000 a_B
-0.500000 -1.000000 0.500000 a_B
-0.500000 -1.000000 -0.500000 a_A
-0.500000 -2.000000 1.500000 a_B
-0.500000 -2.000000 0.500000 a_A
-1.000000 -1.500000 -0.500000 a_A
-1.000000 -2.500000 1.500000 a_B
-1.000000 -2.500000 0.500000 a_B
-1.000000 -1.500000 0.500000 a_A
-0.500000 -0.500000 0.000000 a_A
-0.500000 -2.500000 1.000000 a_B
-0.500000 -1.500000 1.000000 a_A
-0.500000 -1.500000 0.000000 a_B
-0.620130 -0.620130 0.379870 c_A
-0.620130 -2.620130 1.379870 c_A
-0.620130 -1.620130 1.379870 c_A
-0.620130 -1.620130 0.379870 c_A
-0.879870 -1.379870 0.879870 c_A
-0.879870 -1.379870 -0.120130 c_A
-0.879870 -0.379870 -0.120130 c_A
-0.879870 -2.379870 0.879870 c_A
-0.379870 -1.120130 -0.879870 c_A
-0.379870 -2.120130 1.120130 c_A
-0.379870 -2.120130 0.120130 c_A
-0.379870 -1.120130 0.120130 c_A
-0.120130 -0.879870 -0.379870 c_A
-0.120130 -1.879870 1.620130 c_A
-0.120130 -1.879870 0.620130 c_A
-0.120130 -0.879870 0.620130 c_A
-0.379870 -1.379870 -0.379870 c_A
-0.379870 -2.379870 1.620130 c_A
-0.379870 -2.379870 0.620130 c_A
-0.379870 -1.379870 0.620130 c_A
-0.120130 -0.620130 0.120130 c_A
-0.120130 -2.620130 1.120130 c_A
-0.120130 -1.620130 1.120130 c_A
-0.120130 -1.620130 0.120130 c_A
-0.620130 -1.879870 -0.120130 c_A
-0.620130 -0.879870 -0.120130 c_A
-0.620130 -2.879870 0.879870 c_A
-0.620130 -1.879870 0.879870 c_A
-0.879870 -1.120130 -0.620130 c_A
-0.879870 -2.120130 1.379870 c_A
-0.879870 -2.120130 0.379870 c_A
-0.879870 -1.120130 0.379870 c_A
