1.900000 0.000000 0.000000
0.000000 1.900000 0.000000
0.000000 0.000000 1.000000
-1.000000 -0.000000 1.000000
1.000000 -0.000000 1.000000
0.000000 1.000000 -1.000000
0.000000 1.000000 -0.500000 aj_A
0.000000 1.000000 0.500000 aj_B
-0.500000 0.500000 1.000000 aj_B
0.500000 0.500000 1.000000 aj_A
0.235000 0.561000 0.000000 aj_B
0.235000 0.561000 1.000000 aj_A
-0.439000 0.235000 1.000000 aj_A
0.561000 0.235000 1.000000 aj_B
0.439000 0.765000 -0.000000 aj_A
-0.561000 0.765000 0.000000 aj_B
-0.235000 0.439000 1.000000 aj_A
-0.235000 0.439000 -0.000000 aj_B
-0.265000 0.939000 -0.500000 aj_B
-0.265000 0.939000 0.500000 aj_A
0.061000 0.265000 0.500000 aj_A
0.061000 0.265000 1.500000 aj_B
-0.061000 0.735000 -0.500000 aj_A
-0.061000 0.735000 0.500000 aj_B
0.265000 0.061000 0.500000 aj_A
0.265000 0.061000 1.500000 aj_B
0.318000 0.318000 0.730000 ii_A
-0.682000 0.318000 0.730000 ii_A
0.318000 0.318000 1.270000 ii_B
0.318000 0.318000 0.270000 ii_B
-0.318000 0.682000 -0.270000 ii_B
-0.318000 0.682000 0.730000 ii_B
-0.318000 0.682000 0.270000 ii_A
0.682000 0.682000 0.270000 ii_A
-0.182000 0.182000 1.230000 ii_A
-0.182000 0.182000 0.230000 ii_A
0.818000 0.182000 0.770000 ii_B
-0.182000 0.182000 0.770000 ii_B
0.182000 0.818000 0.230000 ii_A
-0.818000 0.818000 0.230000 ii_A
0.182000 0.818000 0.770000 ii_B
0.182000 0.818000 -0.230000 ii_B
0.038000 0.367000 0.000000 ii_A
0.038000 0.367000 1.000000 ii_B
-0.633000 0.038000 1.000000 ii_B
0.367000 0.038000 1.000000 ii_A
0.633000 0.962000 0.000000 ii_A
-0.367000 0.962000 0.000000 ii_A
-0.038000 0.633000 1.000000 ii_B
-0.038000 0.633000 0.000000 ii_B
-0.462000 0.133000 0.500000 ii_B
0.538000 0.133000 0.500000 ii_A
-0.133000 0.462000 0.500000 ii_A
0.867000 0.462000 0.500000 ii_B
-0.867000 0.538000 0.500000 ii_A
0.133000 0.538000 0.500000 ii_A
-0.538000 0.867000 0.500000 ii_B
0.462000 0.867000 0.500000 ii_B
-0.897000 0.103000 1.000000 g_A
0.103000 0.103000 1.000000 g_A
-0.103000 0.897000 1.000000 g_A
-0.103000 0.897000 0.000000 g_A
-0.397000 0.397000 0.500000 g_A
0.603000 0.397000 0.500000 g_A
-0.603000 0.603000 0.500000 g_A
0.397000 0.603000 0.500000 g_A
