1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.154700
-1.000000 -1.000000 0.000000
1.000000 -1.000000 0.000000
0.000000 0.000000 4.000000
0.000000 -0.500000 0.250000 d_B
-0.000000 -1.500000 0.250000 d_B
0.000000 -0.500000 1.250000 d_A
-0.000000 -1.500000 1.250000 d_B
0.000000 -0.500000 2.250000 d_A
-0.000000 -1.500000 2.250000 d_B
0.000000 -0.500000 3.250000 d_A
-0.000000 -1.500000 3.250000 d_A
-0.500000 -1.000000 0.250000 d_B
0.500000 -1.000000 0.250000 d_A
-0.500000 -1.000000 1.250000 d_A
0.500000 -1.000000 1.250000 d_A
-0.500000 -1.000000 2.250000 d_B
0.500000 -1.000000 2.250000 d_B
-0.500000 -1.000000 3.250000 d_A
0.500000 -1.000000 3.250000 d_B
0.000000 -1.500000 0.750000 d_B
0.000000 -0.500000 0.750000 d_A
-0.000000 -1.500000 1.750000 d_B
0.000000 -0.500000 1.750000 d_B
-0.000000 -1.500000 2.750000 d_A
0.000000 -0.500000 2.750000 d_B
0.000000 -1.500000 3.750000 d_B
0.000000 -0.500000 3.750000 d_A
0.500000 -1.000000 0.750000 d_A
-0.500000 -1.000000 0.750000 d_B
0.500000 -1.000000 1.750000 d_A
-0.500000 -1.000000 1.750000 d_B
0.500000 -1.000000 2.750000 d_A
-0.500000 -1.000000 2.750000 d_B
0.500000 -1.000000 3.750000 d_A
-0.500000 -1.000000 3.750000 d_A
0.000000 -1.000000 0.500000 b_B
0.000000 -2.000000 0.500000 b_B
0.000000 -1.000000 1.500000 b_A
0.000000 -2.000000 1.500000 b_A
0.000000 -1.000000 2.500000 b_B
0.000000 -2.000000 2.500000 b_B
0.000000 -1.000000 3.500000 b_A
0.000000 -2.000000 3.500000 b_B
-0.500000 -1.500000 4.000000 b_A
0.500000 -1.500000 4.000000 b_B
-0.500000 -1.500000 1.000000 b_A
0.500000 -1.500000 1.000000 b_B
-0.500000 -1.500000 2.000000 b_A
0.500000 -1.500000 2.000000 b_A
-0.500000 -1.500000 3.000000 b_A
0.500000 -1.500000 3.000000 b_B
